[NGA-W2]
SNo	RSN	SF
1	4890	  2.9135
2	4159	  2.3471
3	1002	  4.4462
4	4016	  4.0305
5	323	  4.6573
6	3565	  4.5887
7	896	  4.1405
8	894	  4.9433
9	3264	  2.5368
10	6948	  3.6832
11	1026	  4.0751
12	1469	  2.5193
13	1477	  2.9205
14	4851	  3.5627
15	6976	  3.7073
16	2621	  4.7863
