[NGA-W2]
SNo	RSN	SF
1	1524	  4.7487
2	1581	  3.3038
3	1472	  2.7484
4	5663	  2.3342
5	3307	  4.5039
6	1469	  4.2964
7	1557	  4.7020
8	963	  1.8362
9	1166	  2.7245
10	3281	  4.5604
11	1292	  4.7225
12	1575	  4.0996
13	78	  4.4333
14	4350	  3.1278
15	1555	  3.1691
16	1286	  3.7661
17	3750	  2.2537
18	14	  4.2011
19	3751	  3.5096
20	1485	  4.1379
21	3865	  4.3784
22	4884	  3.6293
23	1465	  4.2471
24	1487	  3.8295
25	2466	  4.3760
26	2650	  3.3233
27	3274	  4.0870
28	2495	  3.3017
29	1523	  3.9709
30	1436	  3.3535
