
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2026-08-17


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1281
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 1281, -, 1.0, -, 8.7, 17.9, 0.4, "Chi-Chi_ Taiwan", 1999, "HWA032", 7.62, Reverse Oblique, 42.87, 47.31, 573.04, 0.625, 1.0, RSN1281_CHICHI_HWA032-E.AT2, RSN1281_CHICHI_HWA032-N.AT2 , RSN1281_CHICHI_HWA032-V.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1281 SRSS pSa (g)
0.667,0.22800291,0.22800291,0.22800291,0.22800291
0.7,0.21183526,0.21183526,0.21183526,0.21183526
0.75,0.20523543,0.20523543,0.20523543,0.20523543
0.8,0.21367716,0.21367716,0.21367716,0.21367716
0.85,0.21045408,0.21045408,0.21045408,0.21045408
0.9,0.18361186,0.18361186,0.18361186,0.18361186
0.95,0.16721708,0.16721708,0.16721708,0.16721708
1.0,0.14973037,0.14973037,0.14973037,0.14973037
1.1,0.12642861,0.12642861,0.12642861,0.12642861
1.2,0.13296297,0.13296297,0.13296297,0.13296297
1.3,0.14635252,0.14635252,0.14635252,0.14635252
1.4,0.12625425,0.12625425,0.12625425,0.12625425
1.5,0.09599772,0.09599772,0.09599772,0.09599772
1.6,0.0854706,0.0854706,0.0854706,0.0854706
1.7,0.07965973,0.07965973,0.07965973,0.07965973
1.8,0.06770034,0.06770034,0.06770034,0.06770034
1.9,0.05580542,0.05580542,0.05580542,0.05580542
2.0,0.04484795,0.04484795,0.04484795,0.04484795
2.2,0.03754955,0.03754955,0.03754955,0.03754955
2.4,0.0320061,0.0320061,0.0320061,0.0320061
2.5,0.02913041,0.02913041,0.02913041,0.02913041
2.6,0.02591204,0.02591204,0.02591204,0.02591204
2.8,0.01945418,0.01945418,0.01945418,0.01945418
3.0,0.01680373,0.01680373,0.01680373,0.01680373
3.2,0.0204347,0.0204347,0.0204347,0.0204347
3.4,0.02218847,0.02218847,0.02218847,0.02218847
3.5,0.02167154,0.02167154,0.02167154,0.02167154
3.6,0.02043359,0.02043359,0.02043359,0.02043359
3.8,0.02092237,0.02092237,0.02092237,0.02092237
4.0,0.02012769,0.02012769,0.02012769,0.02012769
4.2,0.01638058,0.01638058,0.01638058,0.01638058
4.4,0.01387979,0.01387979,0.01387979,0.01387979
4.6,0.01324755,0.01324755,0.01324755,0.01324755
4.8,0.01317517,0.01317517,0.01317517,0.01317517
5.0,0.01287353,0.01287353,0.01287353,0.01287353
5.5,0.00997798,0.00997798,0.00997798,0.00997798
6.0,0.00667588,0.00667588,0.00667588,0.00667588
6.5,0.00550947,0.00550947,0.00550947,0.00550947
7.0,0.00620661,0.00620661,0.00620661,0.00620661
7.5,0.00702812,0.00702812,0.00702812,0.00702812
8.0,0.00678236,0.00678236,0.00678236,0.00678236
8.5,0.00596834,0.00596834,0.00596834,0.00596834
9.0,0.00569901,0.00569901,0.00569901,0.00569901
9.5,0.00586463,0.00586463,0.00586463,0.00586463
10.0,0.00592636,0.00592636,0.00592636,0.00592636
11.0,0.005136,0.005136,0.005136,0.005136
12.0,0.00354162,0.00354162,0.00354162,0.00354162
13.0,0.00241352,0.00241352,0.00241352,0.00241352
14.0,0.00227094,0.00227094,0.00227094,0.00227094
15.0,0.00208249,0.00208249,0.00208249,0.00208249
