[NGA-W2]
SNo	RSN	SF
1	3634	  4.6050
2	958	  4.9813
3	1008	  3.6854
4	1118	  1.6063
5	1524	  1.1843
6	6948	  4.0333
7	896	  3.5793
8	1619	  3.0060
9	1380	  4.4852
10	15	  2.7342
11	1522	  2.0055
12	1435	  1.6104
13	1236	  2.1665
14	1170	  4.8628
15	3747	  1.9723
16	842	  2.6378
17	2645	  2.9245
18	1823	  3.6926
19	5760	  2.6495
20	1291	  3.1798
