[NGA-W2]
SNo	RSN	SF
1	1565	  3.7146
2	5796	  2.4315
3	900	  1.0342
4	1211	  4.3596
5	346	  1.6640
6	3847	  4.9777
7	730	  1.8949
8	3678	  1.5513
9	832	  2.3179
10	835	  4.4121
11	357	  4.9915
