[KiK-net]
Code_X	RecordID	SF
36695	ABSH140309260450	  3.7400
152262	IWTH161103111509	  3.2982
151671	SITH031103111446	  3.0657
151402	GNMH081103111446	  3.9789
151313	AKTH161103111446	  3.3987
151487	IWTH241103111446	  1.4330
151315	AKTH181103111446	  4.7804
36787	IBUH020309260450	  4.1899
151727	TCGH091103111446	  2.5481
151563	MYGH061103111446	  1.0714
151788	YMTH081103111446	  4.7975
151791	YMTH141103111446	  3.2476
36694	ABSH130309260450	  2.1618
