[NGA-W2]
SNo	RSN	SF
1	1007	  3.6652
2	5803	  1.8699
3	874	  2.8809
4	2472	  4.7113
5	1349	  4.6912
6	2893	  3.1572
7	4159	  2.3471
8	1634	  1.8514
9	958	  2.6956
10	2111	  4.2820
11	6988	  4.5297
12	5778	  1.1950
13	844	  3.3123
14	870	  4.3426
15	963	  0.8631
16	1430	  2.3862
