[NGA-W2]
SNo	RSN	SF
1	849	  4.6115
2	4009	  4.8462
3	1035	  4.5704
4	1793	  3.8281
5	2616	  4.6489
6	335	  1.5837
7	1471	  2.1151
8	3745	  2.0659
9	358	  3.5003
10	5796	  2.4315
11	3752	  3.6571
