[NGA-W2]
SNo	RSN	SF
1	1524	  4.7487
2	5810	  4.4624
3	1581	  3.3038
4	4884	  3.6293
5	4350	  3.1278
6	1575	  4.0996
7	963	  1.8362
8	1166	  2.7245
9	3307	  4.5039
10	3750	  2.2537
11	1286	  3.7661
12	1485	  4.1379
13	1292	  4.7225
14	3274	  4.0870
15	1469	  4.2964
16	1436	  3.3535
17	1472	  2.7484
18	1522	  3.8698
19	1487	  3.8295
20	1557	  4.7020
21	3281	  4.5604
22	6980	  4.9308
23	14	  4.2011
24	1555	  3.1691
25	771	  4.6192
26	1453	  4.6934
27	3751	  3.5096
28	2466	  4.3760
29	78	  4.4333
30	3264	  4.9167
